X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,log_area,oxygen,fire_occurred
7,5,3,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0,0,0,37.27,0
7,4,10,2,90.6,35.4,669.1,6.7,18,33,0.9,0,0,0,27.65,0
7,4,10,6,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0,0,31.05,0
8,6,3,5,91.7,33.3,77.5,9,8.3,97,4,0.2,0,0,36.71,0
8,6,3,7,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0,0,33.59,0
8,6,8,7,92.3,85.3,488,14.7,22.2,29,5.4,0,0,0,23.49,0
8,6,8,1,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0,0,21.61,0
8,6,8,1,91.5,145.4,608.2,10.7,8,86,2.2,0,0,0,37.12,0
8,6,9,2,91,129.5,692.6,7,13.1,63,5.4,0,0,0,32.25,0
7,5,9,6,92.5,88,698.6,7.1,22.8,40,4,0,0,0,22.78,0
7,5,9,6,92.5,88,698.6,7.1,17.8,51,7.2,0,0,0,27.67,0
7,5,9,6,92.8,73.2,713,22.6,19.3,38,4,0,0,0,26.3,0
6,5,8,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0,0,28.26,0
6,5,9,1,90.9,126.5,686.5,7,21.3,42,2.2,0,0,0,24.26,0
6,5,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0,0,0,19.37,0
6,5,9,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,0,22.64,0
5,5,3,6,91.7,35.8,80.8,7.8,15.1,27,5.4,0,0,0,30.61,0
8,5,10,1,84.9,32.8,664.2,3,16.7,47,4.9,0,0,0,28.81,0
6,4,3,3,89.2,27.9,70.8,6.3,15.9,35,4,0,0,0,29.73,0
6,4,4,6,86.3,27.4,97.1,5.1,9.3,44,4.5,0,0,0,36.24,0
6,4,9,2,91,129.5,692.6,7,18.3,40,2.7,0,0,0,27.28,0
5,4,9,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0,0,26.5,0
7,4,6,7,94.3,96.3,200,56.1,21,44,4.5,0,0,0,24.54,0
7,4,8,6,90.2,110.9,537.4,6.2,19.5,43,5.8,0,0,0,26.05,0
7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,0,21.96,0
7,4,8,7,91.4,142.4,601.4,10.6,16.3,60,5.4,0,0,0,29.08,0
7,4,9,5,92.4,117.9,668,12.2,19,34,5.8,0,0,0,26.64,0
7,4,9,1,90.9,126.5,686.5,7,19.4,48,1.3,0,0,0,26.1,0
6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,0,15.54,0
6,3,9,7,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,0,22.79,0
6,3,9,5,94.3,85.1,692.3,15.9,25.4,24,3.6,0,0,0,20.34,0
6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0,0,0,34,0
6,3,9,5,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0,0,25.01,0
6,3,9,7,91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,0,27.89,0
6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,0,24.46,0
6,3,9,2,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0,0,27.16,0
6,3,10,2,90.6,35.4,669.1,6.7,21.7,24,4.5,0,0,0,24.04,0
7,4,10,5,90,41.5,682.6,8.7,11.3,60,5.4,0,0,0,34.08,0
7,3,10,6,90.6,43.7,686.9,6.7,17.8,27,4,0,0,0,27.91,0
4,4,3,2,88.1,25.7,67.6,3.8,14.1,43,2.7,0,0,0,31.45,0
4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0,0,0,22.31,0
4,4,8,6,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,0,27.16,0
4,4,8,2,94.8,108.3,647.1,17,16.6,54,5.4,0,0,0,28.84,0
4,4,9,6,92.5,88,698.6,7.1,19.6,48,2.7,0,0,0,25.9,0
4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0,0,0,32.34,0
5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4,0,0,0,19.84,0
5,6,9,1,90.9,126.5,686.5,7,14.7,70,3.6,0,0,0,30.58,0
6,6,7,1,94.2,62.3,442.9,11,23,36,3.1,0,0,0,22.62,0
4,4,3,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0,0,0,33.83,0
4,4,3,1,87.6,52.2,103.8,5,11,46,5.8,0,0,0,34.52,0
4,4,9,4,92.9,137,706.4,9.2,20.8,17,1.3,0,0,0,25.01,0
4,3,8,7,90.2,99.6,631.2,6.3,21.5,34,2.2,0,0,0,24.14,0
4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0,25.16,0
4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0,25.16,0
